Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Action,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Comedy,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Comedy,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Comedy,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Comedy,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Crunchyroll,Bandai Namco Pictures,Sci-Fi,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Action,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Action,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Action,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Action,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Comedy,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Comedy,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Comedy,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Comedy,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Sci-Fi,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Sci-Fi,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Sci-Fi,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Funimation,Bandai Namco Pictures,Sci-Fi,Samurai,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Crunchyroll,Bandai Namco Pictures,Action,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Crunchyroll,Bandai Namco Pictures,Action,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Crunchyroll,Bandai Namco Pictures,Action,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Crunchyroll,Bandai Namco Pictures,Action,Samurai,Shounen
