,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Shingeki no Kyojin,111,1,8.53,2606155,3666477,160638,TV,25,Finished Airing,Spring,2013,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",Shounen
1,Death Note,80,2,8.62,2569010,3640099,164958,TV,37,Finished Airing,Fall,2006,"['VAP', 'Konami', 'Ashi Productions', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],"['Supernatural', 'Suspense']",Psychological,Shounen
2,Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141,3104299,214087,TV,64,Finished Airing,Spring,2009,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']",['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy']",Military,Shounen
3,One Punch Man,129,4,8.5,2087800,2995422,61395,TV,12,Finished Airing,Fall,2015,"['TV Tokyo', 'Bandai Visual', 'Lantis', 'Asatsu DK', 'Banpresto', 'Good Smile Company', 'Shueisha', 'JR East Marketing & Communications']",['VIZ Media'],['Madhouse'],"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",Seinen
4,Sword Art Online,3113,5,7.2,2040692,2904838,66325,TV,25,Finished Airing,Summer,2012,"['Aniplex', 'Genco', 'DAX Production', 'ASCII Media Works', 'Bandai Namco Games']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Love Polygon', 'Video Game']",N/A
5,Boku no Hero Academia,716,6,7.9,1937895,2823426,52900,TV,13,Finished Airing,Spring,2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],N/A,"['School', 'Super Power']",Shounen
6,Kimetsu no Yaiba,120,7,8.52,1877132,2715426,86165,TV,26,Finished Airing,Spring,2019,"['Aniplex', 'Shueisha']",['Aniplex of America'],['ufotable'],"['Action', 'Award Winning', 'Fantasy']",Historical,Shounen
7,Naruto,610,8,7.98,1847329,2663995,74878,TV,220,Finished Airing,Fall,2002,"['TV Tokyo', 'Aniplex', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",Martial Arts,Shounen
8,Tokyo Ghoul,937,9,7.79,1759880,2651291,48566,TV,12,Finished Airing,Summer,2014,"['Marvelous AQL', 'TC Entertainment', 'Shueisha']",['Funimation'],['Pierrot'],"['Action', 'Fantasy', 'Horror']","['Gore', 'Psychological']",Seinen
9,Hunter x Hunter (2011),10,10,9.04,1609853,2591046,196344,TV,148,Finished Airing,Fall,2011,"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
10,Kimi no Na wa.,27,11,8.85,1764687,2536015,85702,Movie,1,Finished Airing,N/A,2016,"['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']","['Funimation', 'NYAV Post']",['CoMix Wave Films'],"['Award Winning', 'Drama', 'Supernatural']",Romantic Subtext,N/A
11,Shingeki no Kyojin Season 2,130,12,8.5,1718408,2506076,20561,TV,12,Finished Airing,Spring,2017,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",Shounen
12,Steins;Gate,4,13,9.08,1309812,2389941,180121,TV,24,Finished Airing,Spring,2011,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",N/A
13,Boku no Hero Academia 2nd Season,432,14,8.12,1622606,2363218,17139,TV,25,Finished Airing,Spring,2017,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],N/A,"['School', 'Super Power']",Shounen
